id,question,level
2163,To understand the working characteristics of different diodes,2
2164,To familiarize and design the transistor circuits,3
2165,To study the characteristics of Field Effect Transistors,4
2166,To analyse and design diode circuits,5
2167,To comprehend the working of electronic measuring instruments,6
2168,To develop a solid foundation and a fresh perspective in the analysis and  application of electromagnetic fields.,1
2169,To develop a solid foundation in Maxwellâ€™s equation and to analyze the propagation of electromagnetic waves in different media.,2
2170,To analyze the characteristics of transmission lines.,3
2171,To design the different transmission line sections using Smith chart.,4
2172,To compare the different types of wave guides and to evaluate the different modes of propagation in waveguides.,5
2173,Apply basic mathematical operations related to cryptographic techniques.,1
2174,Compare and contrast different cryptographic algorithms based on the  application.,2
2175,Describe the use and different types of digital signature.,3
2176,"Identify and classify system security threats and develop a security model to prevent, detect and recover from attacks.",4
2177,Design secure ciphers based on the principles of cryptography and network security.,5
2178,Design algorithms to solve simple problems,1
2179,Translate algorithms to programs using python,2
2180,Design modular python programs using functions,3
2181,"Demonstrate the use of Python lists, strings, tuples and dictionaries",4
2182,Develop programs using File Input and Output,5
2183,Design simple object-oriented programs using python classes,6
2184,Design simple object-oriented programs using python classes,6
2185,To study the principle behind various microwave amplifiers,1
2186,To understand the principle of microwave oscillators,2
2187,To study the measurement of various microwave parameters,3
2188,To study the various microwave hybrid circuits and formulation of S matrix.,4
2189,To understand the underlying principle of Microwave solid state devices,5
2190,"To understand the basic concepts,types, working of radar",6
2191,Design and analyze different electronic circuits using discrete electronic components,1
2192,Design and analyze amplifier circuits using BJTs at     low and high frequencies,2
2193,Illustrate the basic ideas of feedback amplifiers,3
2194,Design and analyze voltage regulator circuits,5
2195,Design and analyze oscillator and switching circuits,4
2196,Demonstrate key networking protocols and their hierarchical relationship in the context of a conceptual model such as the OSI and TCP/IP framework.,1
2197,Understand some basic concepts of researh and its methodologies,3
2198,1. Analyze the theory behind different phases of design process in the field of Mechanical Engineering,1
2199,"2.	Optimize the design by comparing different failure theories",2
2200,"3.	Apply their knowledge for designing threaded joints and bolted joints",3
2201,"4.	Design and evaluate the strength of different types of welded joints",4
2202,"5.	Create design for springs and shaft and axle for power transmitting elements",5
2203,6.Develop design of couplings and keys.,6
2204,Demonstrate the working of various electronic components and instruments,1
2205,Wire electronic circuits on bread board as per the circuit diagram and to design a dc power supply,2
2206,Design and implement basic transistor circuits,3
2207,Familiarize soldering and printed circuit board design for electronic circuits.,4
2208,Illustrate EDA tools for drawing and simulation of electronic circuits,5
2209, Demonstrate the design of Printed Circuit Boards,6
2210,Develop fundamental knowledge in thermodynamic concepts,1
2211,Review the laws of thermodynamics and apply these to the analysis of thermodynamic systems and components,2
2212,Evaluate entropy changes in a wide range of processes and determine the reversibility or irreversibility of a process from such calculations,3
2213,"Identify the properties of pure substances, gases and gas mixture on property diagrams and obtain the data from property tables",4
2214,Apply thermodynamic relations and problem solving ability to resolve issues related to social interest,5
2215,"Generalize the basic axioms of classical, macroscopic thermodynamic analysis and extrapolate those concepts to thermodynamic processes and substances",6
2216,Compare and evaluate various positional number systems and binary codes,1
2217,"Analyze different methods used for simplification of Boolean expressions, and design optimum Digital circuits with their aid.",2
2218,Design and implement combinational and sequential circuits for different applications,3
2219,Formulate and organize various digital systems using HDL,4
2220,Design and implement specific code converters and digital systems using basic programmable logic devices,5
2221,Design and implement digital counters and timing circuits with sequential circuits.,6
2222,The students would be able to  develop an idea about LPP as a tool used to solve decision making problems in a wide range of areas,1
2223,The students would be able to learn about the concept of dual simplex method,2
2224,"Demonstrate the manufacturing processes and properties of organic chemicals like dyes, intermediates, pesticides, pharmaceuticals etc.",6
2225,The students would be able to solve  Transportation  problem and Assignment  problem,3
2226,The students would be able to make use of game theory to solve problems in computer applications,4
2227,The students would be able to learn about project scheduling by PERT/CPM,5
2228,The students would be able to understand Queuing models,6
2229,Analyse  various random signals based on certain parameters,1
2230,Learn to represent the  signals in signal space diagram,2
2231,Design the optimum receivers in the presence for  AWGN channel,3
2232,Analyse the Timing and synchronisation process,4
2233,Detect and evaluate the effects of Inter Symbol interference,5
2234,Design equalizers,6
2235,To identify an appropriate research topic,1
2236,"To show competence in identifying relevant information, defining and explaining topics under discussion",2
2237,To judge when to speak and how much to say,3
2238,To develop argument skills and critical thinking,4
2239,To make proper research documentation,5
2240,Identify and select necessary components used in various electronic circuits.,1
2241,Design and organize simple circuits using different types of diodes and transistors,2
2242,"Demonstrate the working of analog circuits such as rectifiers, amplifiers and oscillators",3
2243,Illustrate the working of basic building blocks of analog and digital systems such as    Operational amplifiers and Logic gates.,4
2244,Demonstrate the use of basic measuring instruments used in electronics work.,5
2245,"Compare and contrast various modulation techniques, communication systems and TV signal transmission techniques",6
2246,Be conversant with the importance and advantages of various types of new and renewable energy resources.,1
2247,Understand the concept of solar energy conversion and differentiate various solar energy conversion technologies,2
2248,"Impart sound knowledge in the wind energy conversion devices, types of wind turbines and generators.",3
2249,"Gain knowledge on various types and techniques of hydro, geothermal and biomass energy conversion technologies",4
2250,Demonstrate the principles refrigeration of air-conditioning and basic design considerations.,1
2251,"Imbibe knowledge about ocean energy, wave energy and tidal energy",5
2252,"Understand the concept of fuel cell, hydrogen energy and their conversion technologies",6
2253,Carry out analysis of refrigeration cycles,2
2254,Apply the concepts of indoor environmental comfort.,3
2255,"Perform psychrometric calculations, humidity control and analysis of air-conditioning processes",4
2256,Identify the various applications of Refrigeration and air conditioning,5
2257,Apply the concept of convergence of infinite series to solve Engineering          problems,1
2258,Apply the concept of maxima and minima of functions of two variables      to solve Engineering problems,2
2259,Apply calculus of vector-valued functions to dynamical quantities like velocity and acceleration,3
2260,Identify and use Multiple Integrals to evaluate surface area and volume,4
2261,Apply the concepts of Divergence and Curl to solve Engineering problems,5
2262,Demonstrate the application of vector calculus theorems to evaluate different integrals,6
2263,Identify and study analytic functions and harmonic functions,1
2264,Recoganisze   conformal mapping  and find regions that are mapped under certain transformations,2
2265,Evaluate contour integrals using the theory of complex variables,3
2266,Evaluate real definite integrals as an application of residue theorem,4
2267,Solve systems of equations,5
2268,Compute eigen values and diagonalise a matrix,6
2269,Introduce the kinematic design process,1
2270,Apply theory to design a functional kinematic system,2
2271,Gain fundamental understanding in the synthesis of cam profile.,3
2272,Demonstrate the fundamentals of gears and design gear mechanisms for a given input/output motion,4
2273,Identify simple mechanisms within a modern complex machine by carrying out design synthesis and analysis.,5
2274,Design basic digital circuits using hardware description language,5
2275,Identify and apply basic concepts of Set Theory and proof techniques,1
2276,"Identify and apply basic concepts of binary relations, their  graphs and their properties.",2
2277,Design and analyze basic analog circuits using MOSFET,6
2278,Analyze the concepts of  Partial and Total ordering.,3
2279,"Aware of a class of relations and functions, which transform a finite set into another finite set, which relates to input output functions in Computer Science",4
2280,Demonstrate the method of mathematical Induction and Pigeon Hole Principle,5
2281,Apply diverse counting strategies to solve varied problems,6
2282,Students will be able to gain a clear understanding of the concepts that underlie distributed computing systems,1
2283,Students will be able to define key mechanisms and analyze different models for distributed systems.,2
2284,Students will be able to correlate the different types of file systems and naming messaging services which are used by different client processes.,3
2285,Students will be able to understand network file system concepts and file service architecture,4
2286,Students will be able to compare the concurrency control mechanisms in distributed transactional environment,5
2287,Students will outline the need for mutual exclusion and election algorithms in distributed systems,6
2288,solve any given system of linear equations,1
2289,Be conversant with the components and dynamics of electric drives in detail.,1
2290,Impart sound knowledge about the DC drives and controllers,2
2291,Examine the transfer function models of DC motor and controllers,3
2292,Imbibe sound knowledge about the Induction motor drives and controllers.,4
2293,Impart sound knowledge about the Synchronous motor drives and controllers.,5
2294,"identify and apply basic concepts of set theory, relations and functions",1
2295,understand and apply important concepts in number theory,2
2296,The student will be able to appraise data types in different programming languages,3
2297,apply diverse  Counting techniques to solve various problems,3
2298,solve initial value problems using reccurence relations,4
2299,use  graph theory in computer applications,5
2300,determine whether a particular reasoning or argument is valid using the laws of logic,6
2301,Distinguish between different processes by applying knowledge of thermodynamics,1
2302,Evaluate the Eigenvalues and Eigenvectors of a matrix and apply them in real life problems,2
2303,Solve problems using algebraic structures,3
2304,Explain the working of different energy conversion devices,2
2305,Illustrate the use of Lattices and Boolean algebra,4
2306,Simulate the operation of a dynamic system and make improvement according to the simulation results,5
2307,Differentiate between refrigeration and air conditioning devices and demonstrate their working,3
2308,Demonstrate the use of concepts of Fuzzy Sets and Fuzzy Logic in real life problems,6
2309,Recognize different parts of an automobile and explain their working,4
2310,Evaluate various engineering materials used in manufacturing industries,5
2311,Identify appropriate manufacturing methods for production,6
2312,"Apply the basic measuring techniques, like linear, area, volume calculations, to various civil engineering applications.",1
2313,Set out buildings using modern methods,2
2314,Identify masonry for the construction of a building.,3
2315,Analyze the strength and properties of various building materials.,4
2316,"Coordinate the work related plumbing, and sanitary fittings.",5
2317,Compute the level difference between points.,6
2318,"Evaluate various components, products, processes or technologies relevant to engineering field.",1
2319,Explain energy demand in various power plants,1
2320,Analyse different phenomena associated with the generation and propagation of oscillations and waves,1
2321,Analyze solar PV and thermal systems,2
2322,Choose between wind or wind-solar hybrid systems based on the need,3
2323,Demonstrate wave-like phenomena associated with light and use them to measureits properties,2
2324,Classify biomass energy conversion systems,4
2325,Illustrate the phenomenon of superconductivity and evaluate the properties of the superconducting state,3
2326,Identify various renewable energy sources,5
2327,Identify the features of quantum and statistical phenomena and demonstrate the dynamics of microscopic entities.,4
2328,Create awareness on the impacts of energy conversion and importance of sustainable energy,6
2329,Describe the production and properties of acoustic and ultrasonic waves and demonstrate their applications.,5
2330,"Outline the construction and properties of different lasers and optoelectronic devices, and  identify their applications",6
2331,To understand the engineering aspects of design with reference to simple products.,1
2332,"To foster innovation in design of products, processes or systems",2
2333,To understand different CASE tools required for various levels of design,3
2334,To develop design that add value to products and solve technical problems,4
2335,Classify and analyze the characteristics of DC Machines,1
2336,Selection of DC Machines based on intended applications,2
2337,Conduct standard tests and estimate different operative parameters of transformers and  induction motors,3
2338,Interpret the major operational aspects of synchronous machines,4
2339,The student will be able to compare scope and binding of names in different programming languages,1
2340,Compare different controllers used for automation,5
2341,Select suitable instruments for measuring electrical and non-electrical quantities for a given electrical and electronics application,1
2342,Analyse the characteristics  of different types of DC generators,2
2343,Analyse the characteristics of different types of DC motors,3
2344,Determine the performance characteristics of single phase transformer,4
2345,"Design and examine the characteristics of Electronics devices such as diode, Zener diode and rectifier circuit",5
2346,"The student will be able to analyze control flow structures, different control abstraction mechanisms and object oriented constructs  in different programming languages",2
2347,The student will be able to compare different concurrency constructs,4
2348,The student will be able to interpret the concepts of run- time program management,5
2349,"Measure basic physical quantities, such as voltage, frequency, temperature etc and evaluate measurement accuracy.",1
2350,"Measure and analyse the properties of electrical and acoustic waves and oscillations, and demonstrate resonance.",2
2351,Demonstrate wave-like properties of light and measure the wavelength of monochromatic light sources,3
2352,Illustrate the propagation of light through an optical fibre and measure its numerical aperture,4
2353,Demonstrate the working of devices such as solar cells and photoelectric cells,5
2354,Organize an experimental set up and measure fundamental constants such as the Planckâ€™s constant.,6
2355,Identify the concept of Microprocessors and Micro Controllers,4
2356,Analyze and develop different problem solving skills,2
2357,To gain a fundamental understanding of the concepts of stress and strain by analyzing different solids and structures,1
2358,"Equip the students with the tools necessary to solve mechanics problems,which involve static analysis of a component to find the internal reactions and moments.",2
2359,"To learn fundamental principles of equilibrium,compatibility and force-deformation relationship and principle of superposition in linear solids and structures",3
2360,"Analyze and design structural members subjected to tension,compression,torsion,bending and combined stresses using the fundamental concepts of stress,strain and elastic behaviour of materials",4
2361,"Utilize appropriate materials in design considering engineering properties,sustainability,cost and weight.",5
2362,Procure confidence in designing columns subjected to compressive loading based on Eulers and Rankines equation,6
2363,Identify concepts in economics and interpret their role in managerial economics which will be useful in their profession and business.,1
2364,Analyze and interpret demand and supply of goods and services in the economy and its influence and execute production analysis.,2
2365,Recognize the effect of trade cycle in business and analyze various market situations.,3
2366,Measure National Income and evaluate measures taken by RBI in controlling inflation.,4
2367,"Analyze, compare and justify investment decisions based on capital budgeting methods.",5
2368,"Prepare and analyze balance sheets, interpret taxation system in India, compare different sources of capital for firms and carry out demand forecast.",6
2369,"Demonstrate Engineering Drawing Standards (as per BIS), dimensioning and preparation of drawings leading to illustration of Graphics as the communication language of Engineers",1
2370,"Interpret engineering drawings, leading to enhanced presentation skills of 3-D objects in 2-D plane / paper and improved visualization of physical objects.",2
2371,"Apply the principles of orthographic projections of lines, solids and sectioned views in the design of pipeline systems.",3
2372,Prepare isometric and perspective projections that help to reconstruct solutions to real-time engineering problems in 3D to provide better understanding,4
2373,Create surface development and generate projections of penetrated objects which will help to develop suitable models for industrial applications.,5
2374,Analyse problem requirements and arrive at workable design solutions.,
2375,"Recognize the importance of CAD software, and develop AutoCAD skills to transfer technical data and sketches into electronic drawing.",6
2376,Analyse problem requirements and arrive at workable design solutions.,2
2377,Recognize and evaluate creative ideas related to engineering design.,3
2378,Demonstrate the basics of manufacturing processes and related techniques,4
2379,Evaluate group dynamics and show how to be a productive member of a team.,5
2380,Discuss the basics of design history and identify contemporary issues on a global scale.,6
2381,Analyse discrete time systems with discrete Fourier transform,1
2382,Realize digital IIR and FIR filters,2
2383,Design filters using Matlab FDA tool box,5
2384,"Design digital IIR and FIR filters using Butterworth, Chebyshev, sampling and windowing techniques",3
2385,Test the finite word length effects in signal processing,4
2386,Define and classify Digital Signal Controllers and their Applications,6
2387,Distinguish and test for various signals and associated systems,1
2388,Analyze continuous time systems with Laplace transforms,2
2389,Examine signals using Fourier series representation and Fourier transformation,3
2390,To develop the basic understanding of control system theory and its role in engineering design,1
2391,Analyze sampling process and signal reconstruction,4
2392,To understand utility of Laplace transforms and transfer functions for modeling complex interconnected systems,2
2393,Analyze discrete time systems with Z transforms,5
2394,To understand the concept of time domain and frequency domain analysis and to determine the physical behavior of  systems using these analysis,3
2395,Examine discrete time systems using Discrete Fourier series and non linear systems,6
2396,To design control systems with compensating techniques.,4
2397,To understand state variable analysis of systems and the relationship with state variable representation and transfer functions,5
2398,To introduce basic concepts of digital control systems,6
2399,Design combinational logic circuits using digital ICâ€™s,1
2400,Design sequential logic circuits using digital ICâ€™s,2
2401,Make use of various tools to program 8085 based systems,3
2402,"Develop an understanding of DSP principles, algorithms and applications",1
2403,Interpret questions on design and realization techniques of digital filters and illustrate to suit the demands,2
2404,Assess cases and comprehend multi-rate signal processing and applications,3
2405,Demonstrate the architecture of a digital signal processor and computational issues in fixed-point digital signal processor in real-time implementation,4
2406,Evaluate DSP systems and applications in a beyond curriculum outlook,5
2407,Outline the fundamental theories in metal cutting and apply them to analyze cutting conditions.,1
2408,Explain different types of general purpose machine tools used in metal cutting and outline the nomenclature of cutting tools used.,2
2409,Discuss working and application of reciprocating machine tools used in metal cutting and compute machining time required for a specified operation.,3
2410,List different types of machine tools used in finishing operations and rate them in terms of attainable surface quality,4
2411,Identify different types of semi-automatic and automatic machine tools and state their characteristics,5
2412,Recall the basic concept in digital manufacturing and review various modelling theories used for system development,6
2413,"Master an understanding of Database, GUI Programming in Python",5
2414,"1.	Illustrate the fundamentals and evolution of composite materials and subsystems.",1
2415,Analyze the properties of various cryogenic systems and their applications,1
2416,"2.	Identify and analyze various reinforcements in composite materials with focus on their fabrication, structure, properties and applications.",2
2417,"3.	Explore and comprehend the processing, properties and applications of polymer matrix composites",3
2418,"4.	Analyze and illustrate the processing, properties and applications of metal matrix composites.",4
2419,"5.	Examine and figure out the processing, properties and applications of ceramic matrix composites.",5
2420,"6.	Apply various machining techniques and basic mechanics to composite materials.",6
2421,Analyse various routing and host configuration protocols in computer networks,2
2422,Analyse the various protocols in transport layer,3
2423,Demonstrate the working of different power switching devices with respect to their characteristics,1
2424,To demonstrate the ability to use the  DNS and World Wide Web.,4
2425,Differentiate between various types of switched mode regulators,2
2426,Analyse  various multimedia applications in Computer networks,5
2427,Review the current topics in web and internet technologies,1
2428,"Analyse a web page using HTML, XML and CSS",2
2429,"Build dynamic web page using javascript,Vb script and Ajax",3
2430,Build dynamic web page using ASP.NET and JSP,4
2431,Build interactive web application using Ruby on Rails,5
2432,Summarize different classical encryption techniques,1
2433,"1.	Understand the essentials of electromagnetic principles and construction of  DC Machines",1
2434,"2.	 Identify DC generator types, and appreciate their performance",2
2435,Identify mathematical concepts for different cryptographic algorithms,2
2436,Demonstrate and apply cryptographic algorithms for encryption and key exchange,3
2437,Summarize different authentication and digital signature schemes,4
2438,"3.	 Describe the principle of operation of DC motors and choose appropriate motor types for different applications",3
2439,Analyze the performance of different types of DC motors,4
2440,"5.	 Describe the principle of operation of single phase transformers and analyze the performance of single phase transformers",5
2441,"Identify security issues in network, transport and application layers and outline appropriate security protocols",5
2442,Explain the principle of operation and performance of three phase transformers,6
2443,Demonstrate and compare the working of various gas liquefaction processes and systems,2
2444,Evaluate the performance of various gas liquefaction systems,3
2445,Identify different components of gas liquefaction and refrigeration systems,4
2446,Identify the requirements of cryogenic fluid storage and transfer systems,5
2447,Demonstrate the different techniques and systems used with cryogenic measurements,6
2448,Identify the different components and their respective roles in a commu nication system,1
2449,Demonstrate the Layered Architecture and different categories of Computer Networks,2
2450,Analyze the operation of the main components of computer networks,3
2451,Identify various network routing protocols and algorithms,4
2452,Acquire the required skill to design simple computer networks,5
2453,Apply the basic concepts of Boolean algebra for the simplification and implementation of logic functions,1
2454,"Apply algorithms for addition/subtraction operations on Binary, BCD and Floating Point Numbers",2
2455,Design of simple Combinational Circuits,3
2456,Design Sequential logic Circuits,4
2457,Use Hardware Description Language for describing simple logic circuits,5
2458,Students will be able to develop an understanding of set theory to differentiate relations and functions,1
2459,Students will be able to classify recurrence relations to find solutions and master the basics of permutations and combinations.,2
2460,Students will be able to understand the process and properties of algebraic systems.,3
2461,Students will be able to outline the basic features of lattices and boolean algebra.,4
2462,Students will be able to solve problems using propositional logic.,5
2463,Students will be able to apply predicate logic and quantifications.,6
2464,Implement design principles and concepts to algorithm design.,1
2465,Attribute the efficiency of algorithms using time and space complexity theory.,2
2466,Outline worst-case running times of algorithms using asymptotic analysis.,3
2467,Inferr different algorithmic design strategies.,4
2468,Develop efficient algorithms for simple computational tasks.,5
2469,Acquire knowledge about functionalities of world wide web,1
2470,Explore markup languages features and create interactive web pages using them,2
2471,Structure Client side validation using scripting languages,3
2472,"Inferr basic computational concepts and the complexity classes P, NP, and NP-Complete.",6
2473,Acquire knowledge about Open source JavaScript libraries,4
2474,Implement front end web page and connect to the back end databases,5
2475,Excecute Client-side & Server-side scripting,6
2476,"Understand, appreciate and effectively explain the underlying concepts of database technologies",1
2477,Design and implement a database schema for a given problem-domain.,2
2478,Apply different normalization techniques,3
2479,Populate and query a database using SQL DML/DDL commands.,4
2480,Use any popular RDBMS for data access and updating.,5
2481,To get familiar with the functionality and support provided by commercially popular RDBMS.,6
2482,Recall the fundamental concepts of fluid mechanics,1
2483,"Apply the concepts of kinematics of fluid particles, including concepts of substantive derivatives, local and convective accelerations, vorticity and circulation for solving fluid dynamic problems.",2
2484,"Explain Eulerâ€™s and Bernoulliâ€™s equations and conservation of mass to determine velocities, pressures, and accelerations for incompressible and inviscid fluids and apply the same in solving problems related to flow-through pipes",3
2485,Apply dimensional analysis to predict physical parameters that influence the flow in fluid machines.,5
2486,Classify and identify different software into different categories.,1
2487,"Design, implement and analyze two pass  assemblers.",2
2488,"Design, implement and analyze loaders and linkers",3
2489,"Design, implement and analyze macro processors",4
2490,Analyze and assess the features of modern editing/debugging tools.,5
2491,Demonstrate the principles of spectroscopy and apply them to explainchemical phenomena,1
2492,Illustrate principles and applications of various electrochemical techniques and cells.,2
2493,"Discuss instrumental methods like chromatography, conductivity and thermal analysis for chemical analysis.",3
2494,"Recognize the properties and applications of engineering materials, such as polymers and nanomaterials",4
2495,Evaluate the properties of complex chemicals such as fuels and lubricants.,5
2496,Analyze the performance of heat exchangers.,1
2497,Describe the properties of water and identify methods for water purification,6
2498,Measure the coefficients of heat transfer,2
2499,Identify basic ideas of Microprocessors and Microcontrollers,1
2500,Discuss the working of Air conditioning and refrigeration systems,3
2501,"Analyze the basic Data Mining , Web Mining concepts and apply at least one of the algorithms used for Association  Rule  Mining",1
2502,Differentiate Microprocessors &  Microcontrollers,2
2503,Experiment with the working of gyroscopes and identify the effects of forces and moments on their motion,4
2504,"Apply a wide range of Classification,Prediction, Estimation and Clustering algorithms including k-means Clustering .",2
2505,Demonstrate the working of governor apparatus and illustrate the effects of forces and moments on their motion,5
2506,Examine the effect of dynamics on free and forced vibrations,6
2507,"Analyze solid waste management systems with respect to its physical, chemical and biological properties.",1
2508,Analyze the quantitative evaluation methods for the IR  systems and data mining techniques.,3
2509,Identify practical applications of MicroProcessors and MicroControllers,3
2510,Evaluate various kinds of Text and Web Page Pre-Processing.,4
2511,Interfacing of external world with processors and Controllers,4
2512,Analyse and measure the quality of water and environmental pollution.,1
2513,Analyse and identify unknown compounds from spectral measurements.,2
2514,Prepare different polymers for industrial applications.,3
2515,Understand the popular Web Search methods and Ranking principles,5
2516,Identify the relevance of Processors and Controllers in Technology,5
2517,Find the strength and pH of unknown solutions using different instrumental methods.,4
2518,Measure the percentage of metal present in metal ore.,5
2519,Apply and demonstrate theoretical concepts of Engineering Chemistry.,6
2520,Analyze the Data Collection and Data Modelling tasks for Web Usage Mining,6
2521,Illustrate algorithms as python program,3
2522,Imbibe knowledge about control system components,1
2523,"Design programs with interactive input and output, utilising arithmetic expressions and arrays",4
2524,Apply various mathematical principles (from calculus and linear algebra) to solve control system problems.,2
2525,Identify changing nature of solid wastes and the factors affecting the solid waste generation rates.,2
2526,"obtain mathematical models for such mechanical, electrical and electromechanical systems.",3
2527,Design programs using file input and output,6
2528,Develop recursive programs,5
2529,perform systemâ€™s time domain analysis with response to test inputs.,4
2530,Select appropriate method for solid waste collection and transportation.,3
2531,Analyse system stability using classical methods in time and frequency domain,5
2532,Select appropriate method for solid waste disposal.,4
2533,Identify and explain the basics of digital computers,1
2534,Understand the basic elements encountered in electric networks.,1
2535,"Appreciate the critical need of balancing economic, environmental and social development",5
2536,Analyse DC Circuits based on Kirchoffs laws,2
2537,Solve various kinds of problems involving magnetic circuits.,3
2538,Perform mathematical analysis of AC electric circuits and its power measurement,4
2539,Demonstrate a basic understanding of phasors and phasor diagrams for AC circuit analysis,5
2540,Design solid waste management systems.,5
2541,The students would be able to acquire knowledge about the basic concept of writing a program.,1
2542,Explain the role of engineering in sustainable development and environmental protection,1
2543,"The students would be able to understand the role of constants, variables, identifiers, operators, type conversion and other building blocks of C Language",2
2544,Analyze the characteristics of microwave sources,1
2545,Measure the Rectangular waveguide and microwave parameters,2
2546,"Identify basic electronic components, design and develop electronic circuits.",1
2547,Design and demonstrate functioning of various discrete analog circuits,2
2548,To gain hands-on experience so that they are able to put theoretical concepts to practice.,3
2549,Demonstrate different types of antennas and their radiation patterns,3
2550,Be familiar with computer simulation of electronic circuits and to use it proficiently for design and development of electronic circuits,4
2551,Analyze optical fiber characteristics,4
2552,The students would be able to use the conditional expressions and looping statements to solve problems associated with conditions and repetitions.,3
2553,Analyze the characteristics of optical sources and detectors,5
2554,The students would be able to understand the concept of Array and pointers dealing with memory management.,4
2555,The students would be able to manage File Handling for permanent storage of data or record.,5
2556,Describe global environmental issues and the consequent threats to sustainable development,2
2557,The students would be able to interpret the role of Functions involving the idea of modularity.,6
2558,"Apply simple, efficient and indigenous solutions to assess and overcome threats to sustainability",3
2559,Perform arithmetic operations in many number systems.,1
2560,Identify and apply engineering methods and eco-friendly solutions to maintain a green environment,4
2561,Recall various logic gates and the rules of Boolean algebra.,2
2562,Use minimization techniques to implement Boolean functions by logic gates,3
2563,Demonstrate the relevance of non-conventional energy sources for sustainable development of the society,5
2564,Realize the combinational and sequential logic circuits by using various logical blocks.,4
2565,Analyze and design digital systems with various constraints,5
2566,Design new algorithms or modify existing  algorithms in problem solving,6
2567,Design synchronous counters and develop sequential circuit applications using flip flops and registers.,6
2568,Apply the knowledge of  Genetic algorithm to implement new simple algorithms in advanced applications,1
2569,Recognize distributed systems architecture,1
2570,Understanding and recognizing the advantages and importance of support vector machines and its classification.,2
2571,Distinguish between communication models in distributed systems,2
2572,Analyze and solve programming problems using a procedural and algorithmic approach with functional decomposition.,1
2573,Implement design principles and concepts to algorithm design.,1
2574,"Describe fundamentals of programming such as variables, conditional and iterative execution, methods, etc.",2
2575,Attribute the efficiency of algorithms using time and space complexity theory.,2
2576,Outline worst-case running times of algorithms using asymptotic analysis,3
2577,Apply knowledge of computing and mathematics using 1D and 2D arrays.,3
2578,Discuss on distributed file systems,3
2579,Inferr different algorithmic design strategies.,4
2580,Explore the advantages of using functions to solve problems.,4
2581,Identify different industrial sectors and relevant AM processes,1
2582,"Develop skills to use pointers, structures and data handling through files in â€˜Câ€™.",5
2583,Develop efficient algorithms for simple computational tasks.,5
2584,Understand and analyse Stereo lithography Apparatus (SLA),2
2585,"Analyze the basic Data Mining, Web Mining concepts and apply at least one of the algorithms used for Association Rule Mining.",1
2586,"Inferr basic computational concepts and the complexity classes P, NP, and NP-Complete.",6
2587,Examine different cloud models,4
2588,Describe basics of python programming and develop simple programs using python.,6
2589,"Apply a wide range of Classification,Prediction, Estimation and Clustering algorithms including k-means Clustering.",2
2590,Understand and analyse Solid Ground Curing (SGC),3
2591,Analyze the quantitative evaluation methods for the IR  systems and data mining techniques.,3
2592,understand and analyse Selective Laser Sintering (SLS):,4
2593,Describe types of virtualisation,5
2594,Evaluate various kinds of Text and Web Page Pre-Processing.,4
2595,Understand and analyse Three dimensional Printing (3DP),5
2596,Examine cloud security issues,6
2597,Understand the popular Web Search methods and Ranking principles.,5
2598,Analyze the Data Collection and Data Modelling tasks for Web Usage Mining.,6
2599,"To learn the basics of computer forensics, investigate and learn on certification process",1
2600,The study of storage provision and study of acquisition tools,2
2601,Be conversant with the operating principle and characteristics of semiconductor power electronic switches,1
2602,"Identifying digital evidence, performing search for the evidence on crime",3
2603,Proficiency in the usage of power electronic converters to design inverters and rectifiers,2
2604,Mastery of ac phase control methods to control output power,3
2605,"Obtain idea regarding Hard disks, and other forensic softwares, analysis and validation of the evidence",4
2606,Imbibe concepts of various types of power converters,4
2607,"Proficiency to select different switchig methods for rectifiers, inverters and voltage controllers.",5
2608,Relate which algorithm or data structure to use in different scenarios.,1
2609,"Obtaining information on Recovering the files, copy right issues network investigation",5
2610,Implement standard algorithms for searching and sorting,2
2611,"Implement applications using basic data structures such as array, stack, queue and linked list",4
2612,Analyse the concept of trees and graphs and their implementation using basic data structures and algorithms,6
2613,To do critical analysis of efficiency of algorithms.,3
2614,Choose appropriate data structure as applied to specified problem definition.,5
2615,Recognize the role of technology in the sustainable development of society and industry,6
2616,Imbibe knowledge about the need of modulation in communication systems,1
2617,Analyze AM and FM transmitter and receiver circuits,2
2618,Imbibe knowledge about Television and radar systems,3
2619,Identify the functions of different components of Digital communication and applications,4
2620,Obtain basic detailing of the mechanism used in Satellite communication,5
2621,Evaluate different theoretical terms related to Cellular telephone,6
2622,Ability to solve heat transfer problems,1
2623,Analyze the performance of heat exchangers for industrial environments,2
2624,Implement Lexical Analyser for a given language,1
2625,Gain familiarity with steam systems and thus determine boiler performance based on energy efficiency parameters,3
2626,Be acquainted with the rudiments of fuel combustion and gas analysis,4
2627,To comprehend the principles of refrigeration and air conditioning,5
2628,Adaptation of generalized psychrometrics to HVAC applications,6
2629,Apply the knowledge of Lex and Yacc tools to develop programs,2
2630,Develop different parsers for a given language,3
2631,Apply code optimization techniques for programs,4
2632,Solve AC and DC electrical networks using the network theorems,1
2633,Apply graph theory in solving electrical networks,2
2634,Demonstrate the use of Python lists and dictionaries,1
2635,Analyze transient behavior of DC and AC circuits,3
2636,Demonstrate intermediate and machine level code generation for programs,5
2637,Infer the performance of two port networks using network parameters,4
2638,Combine analog circuits using passive elements,5
2639,"Master an understanding of Python especially the objectâ€oriented concepts,",2
